"date","fg","close"
2020-01-01,37,7213.918462217
2020-01-02,39,6968.274896337
2020-01-03,38,7317.184074338
2020-01-04,38,7358.491964047
2020-01-05,39,7352.362745092
2020-01-06,41,7764.21795016
2020-01-07,40,8155.216395206
2020-01-08,51,8055.759827258
2020-01-09,44,7829.063239858
2020-01-10,41,8160.41356717
2020-01-11,50,8024.791558571
2020-01-12,45,8164.590607768
2020-01-13,49,8116.969510017
2020-01-14,56,8838.564861799
2020-01-15,54,8807.632433908
2020-01-16,55,8722.037088492
2020-01-17,54,8921.648280804
2020-01-18,51,8929.544856857
2020-01-19,53,8697.342225048
2020-01-20,48,8639.196220239
2020-01-21,49,8747.381850419
2020-01-22,52,8672.801078606
2020-01-23,49,8391.607956581
2020-01-24,40,8440.287025972
2020-01-25,41,8366.208771054
2020-01-26,42,8591.002875698
2020-01-27,50,8895.603627951
2020-01-28,54,9334.836393301
2020-01-29,57,9304.918063766
2020-01-30,57,9503.267999973
2020-01-31,55,9336.132884714
2020-02-01,57,9386.105651619
2020-02-02,57,9339.574889161
2020-02-03,59,9302.36265841
2020-02-04,56,9187.070016251
2020-02-05,53,9602.309743074
2020-02-06,61,9754.07841167
2020-02-07,56,9820.295541559
2020-02-08,56,9899.911944208
2020-02-09,56,10128.750275518
2020-02-10,57,9869.436911635
2020-02-11,52,10229.700902488
2020-02-12,61,10327.554589217
2020-02-13,65,10225.415261826
2020-02-14,63,10327.512334976
2020-02-15,64,9903.077896912
2020-02-16,59,9969.235680452
2020-02-17,49,9711.996027942
2020-02-18,53,10144.896496497
2020-02-19,50,9621.766805943
2020-02-20,44,9612.39263243
2020-02-21,44,9683.453205911
2020-02-22,43,9667.521623153
2020-02-23,46,9923.659319612
2020-02-24,46,9664.370231955
2020-02-25,44,9358.388620384
2020-02-26,41,8829.543592945
2020-02-27,39,8775.595015544
2020-02-28,40,8731.610771305
2020-02-29,38,8569.467784718
2020-03-01,39,8557.504357584
2020-03-02,38,8900.068550262
2020-03-03,38,8772.476036802
2020-03-04,40,8749.500221929
2020-03-05,41,9051.139212389
2020-03-06,39,9129.266627707
2020-03-07,38,8898.942077756
2020-03-08,33,8042.736084463
2020-03-09,17,7915.672114634
2020-03-10,16,7900.821325967
2020-03-11,17,7931.347542963
2020-03-12,14,4724.392684378
2020-03-13,10,5518.647280507
2020-03-14,8,5212.979297886
2020-03-15,12,5381.745246919
2020-03-16,9,5022.578106242
2020-03-17,8,5362.320406925
2020-03-18,11,5365.581534299
2020-03-19,12,6160.004718461
2020-03-20,9,6192.309975228
2020-03-21,9,6149.79835117
2020-03-22,11,5843.158786255
2020-03-23,10,6467.459038287
2020-03-24,12,6736.044984352
2020-03-25,13,6681.336594453
2020-03-26,14,6736.291779135
2020-03-27,12,6377.749563627
2020-03-28,8,6239.838831896
2020-03-29,12,5917.297073238
2020-03-30,10,6424.078447239
2020-03-31,12,6431.262412871
2020-04-01,12,6598.287014759
2020-04-02,14,6807.465142308
2020-04-03,14,6733.747734803
2020-04-04,12,6847.730054844
2020-04-05,12,6789.732164723
2020-04-06,12,7279.161792257
2020-04-07,20,7198.770191509
2020-04-08,21,7352.328771068
2020-04-09,22,7293.584360283
2020-04-10,15,6859.8337374
2020-04-11,15,6869.586551932
2020-04-12,10,6977.230635882
2020-04-13,11,6837.422539886
2020-04-14,15,6856.179093865
2020-04-15,18,6637.791815543
2020-04-16,13,7088.799491826
2020-04-17,15,7034.54035767
2020-04-18,18,7233.157423116
2020-04-19,16,7133.148679405
2020-04-20,15,6856.78595335
2020-04-21,17,6851.005362273
2020-04-22,19,7106.551177031
2020-04-23,19,7464.891126761
2020-04-24,20,7497.353392645
2020-04-25,24,7535.263896666
2020-04-26,21,7665.828318069
2020-04-27,28,7766.689761497
2020-04-28,26,7754.222425558
2020-04-29,26,8759.789190303
2020-04-30,44,8607.329832118
2020-05-01,40,8832.98125113
2020-05-02,40,8974.922892482
2020-05-03,45,8894.362674812
2020-05-04,44,8883.30678116
2020-05-05,40,8967.997704233
2020-05-06,42,9198.252700851
2020-05-07,49,9968.105282228
2020-05-08,55,9822.88562923
2020-05-09,56,9570.005987549
2020-05-10,48,8745.152545192
2020-05-11,40,8593.856494464
2020-05-12,39,8792.063767945
2020-05-13,41,9302.896540995
2020-05-14,40,9772.561575826
2020-05-15,44,9293.972171086
2020-05-16,41,9380.484219264
2020-05-17,40,9667.578396738
2020-05-18,50,9733.739136589
2020-05-19,50,9761.178765113
2020-05-20,52,9524.434063671
2020-05-21,49,9073.693078891
2020-05-22,42,9160.705420055
2020-05-23,40,9180.527996785
2020-05-24,43,8791.793685125
2020-05-25,41,8897.213209214
2020-05-26,39,8850.354200037
2020-05-27,39,9165.144673701
2020-05-28,41,9536.159368896
2020-05-29,48,9418.133839887
2020-05-30,48,9693.552426994
2020-05-31,51,9449.860914083
2020-06-01,50,10177.770353698
2020-06-02,56,9538.727853222
2020-06-03,48,9652.629014484
2020-06-04,54,9803.990305736
2020-06-05,53,9641.917174627
2020-06-06,54,9662.323105336
2020-06-07,54,9742.573822416
2020-06-08,53,9773.301577068
2020-06-09,52,9769.869087608
2020-06-10,54,9864.561413157
2020-06-11,52,9314.378159997
2020-06-12,38,9460.375484512
2020-06-13,38,9463.820529397
2020-06-14,40,9352.845602064
2020-06-15,37,9421.652179904
2020-06-16,39,9520.484680768
2020-06-17,38,9463.405493001
2020-06-18,40,9401.552893373
2020-06-19,39,9305.901804693
2020-06-20,38,9348.977142148
2020-06-21,37,9289.89379981
2020-06-22,38,9685.845286855
2020-06-23,41,9614.94360605
2020-06-24,50,9289.303604875
2020-06-25,43,9254.748295924
2020-06-26,40,9165.503578236
2020-06-27,43,9014.22427198
2020-06-28,40,9118.117533044
2020-06-29,41,9180.15902631
2020-06-30,44,9145.560607003
2020-07-01,42,9225.668161404
2020-07-02,42,9084.054479317
2020-07-03,41,9065.57798453
2020-07-04,40,9127.518466541
2020-07-05,38,9072.772592194
2020-07-06,40,9342.540315737
2020-07-07,43,9252.355179756
2020-07-08,44,9420.350154587
2020-07-09,44,9240.366175725
2020-07-10,41,9278.447734235
2020-07-11,44,9231.320100491
2020-07-12,41,9286.726084869
2020-07-13,43,9247.107825483
2020-07-14,43,9254.20447377
2020-07-15,44,9206.764838048
2020-07-16,43,9137.239203353
2020-07-17,41,9155.773355258
2020-07-18,44,9170.802680627
2020-07-19,41,9207.816995889
2020-07-20,44,9164.069788541
2020-07-21,44,9385.174346234
2020-07-22,50,9518.901022149
2020-07-23,55,9592.963304038
2020-07-24,53,9545.046629108
2020-07-25,55,9686.12071608
2020-07-26,55,9917.359473893
2020-07-27,58,10996.536599024
2020-07-28,76,10895.733957139
2020-07-29,71,11073.297879589
2020-07-30,76,11109.23106292
2020-07-31,75,11334.58546549
2020-08-01,75,11800.389870165
2020-08-02,80,11073.607655717
2020-08-03,75,11246.255476837
2020-08-04,72,11194.554614509
2020-08-05,75,11732.927950313
2020-08-06,79,11780.285372344
2020-08-07,77,11583.159273747
2020-08-08,77,11728.585226911
2020-08-09,79,11648.083166166
2020-08-10,78,11867.866490683
2020-08-11,84,11395.405816094
2020-08-12,75,11576.814266862
2020-08-13,75,11763.009141034
2020-08-14,78,11742.876373856
2020-08-15,79,11865.383052744
2020-08-16,82,11892.68092121
2020-08-17,83,12285.936628884
2020-08-18,82,11961.994599784
2020-08-19,80,11732.405565665
2020-08-20,75,11866.595191214
2020-08-21,81,11530.919234185
2020-08-22,78,11681.15792601
2020-08-23,76,11653.407286706
2020-08-24,78,11763.761713068
2020-08-25,75,11361.554816122
2020-08-26,76,11463.567970252
2020-08-27,75,11311.240202114
2020-08-28,74,11496.830217387
2020-08-29,79,11485.101567395
2020-08-30,75,11697.794368445
2020-08-31,75,11655.998698678
2020-09-01,75,11921.754916292
2020-09-02,83,11399.148968018
2020-09-03,79,10215.669958645
2020-09-04,40,10473.519453043
2020-09-05,41,10129.786654306
2020-09-06,41,10257.229742702
2020-09-07,41,10356.444382971
2020-09-08,41,10112.206366256
2020-09-09,38,10214.15437465
2020-09-10,38,10334.638647185
2020-09-11,41,10374.778150971
2020-09-12,41,10438.37739278
2020-09-13,38,10315.666411066
2020-09-14,39,10665.113719053
2020-09-15,47,10782.99980322
2020-09-16,43,10946.921228692
2020-09-17,48,10934.419674311
2020-09-18,49,10916.970917053
2020-09-19,48,11076.850892878
2020-09-20,52,10914.687407947
2020-09-21,48,10427.87773384
2020-09-22,39,10531.351535286
2020-09-23,43,10231.051311501
2020-09-24,39,10731.532396808
2020-09-25,46,10683.395234217
2020-09-26,45,10739.742577529
2020-09-27,47,10766.522449088
2020-09-28,43,10702.472833045
2020-09-29,45,10839.962683468
2020-09-30,49,10766.814094563
2020-10-01,45,10614.303326871
2020-10-02,41,10566.494383933
2020-10-03,40,10541.32189207
2020-10-04,42,10665.698551049
2020-10-05,42,10784.67081854
2020-10-06,47,10604.446854355
2020-10-07,43,10665.252260679
2020-10-08,46,10898.551843619
2020-10-09,48,11066.190869882
2020-10-10,53,11294.994190302
2020-10-11,55,11376.435109896
2020-10-12,52,11544.137639625
2020-10-13,56,11423.480015091
2020-10-14,53,11426.367479344
2020-10-15,56,11492.615897338
2020-10-16,52,11312.662784187
2020-10-17,56,11368.484736962
2020-10-18,55,11490.015808249
2020-10-19,55,11748.376783365
2020-10-20,56,11910.242112809
2020-10-21,61,12808.795951863
2020-10-22,73,12958.537189204
2020-10-23,74,12929.022175701
2020-10-24,73,13117.174729466
2020-10-25,76,13020.811715896
2020-10-26,75,13065.536025938
2020-10-27,61,13651.54050526
2020-10-28,70,13275.481261315
2020-10-29,67,13443.531522235
2020-10-30,74,13568.837248108
2020-10-31,73,13795.526547596
2020-11-01,72,13735.006857626
2020-11-02,71,13576.968475843
2020-11-03,71,13973.248876644
2020-11-04,74,14132.96094433
2020-11-05,72,15558.525408402
2020-11-06,90,15547.052549124
2020-11-07,88,14821.983251777
