Start,End,Open,High,Low,Close,Volume,Market Cap
2025-04-05,2025-04-06,83769.12,84219.7,82384.97,83582.03,54248864825.993034,1654109742457.4043
2025-04-04,2025-04-05,83259.08,84676.27,81767.53,83879.86,62632262272.24738,1654910625336.7004
2025-04-03,2025-04-04,82259.03,83781.7,81307.75,83199.95,77668432600.05576,1643472264746.0522
2025-04-02,2025-04-03,85170.68,87898.01,82487.4,82548.31,52376111578.414635,1688190001005.2021
2025-04-01,2025-04-02,82612.64,85417.94,82470.01,85216.81,47683970204.78049,1667079854423.46
2025-03-31,2025-04-01,82393.71,83750,81365.02,82541.29,38919650975.466896,1633849331577.0662
2025-03-30,2025-03-31,82655.67,83524.98,81650.45,82345.82,31733338256.850174,1643757273158.9512
2025-03-29,2025-03-30,84364.84,84573.51,81771.86,82659.11,42848927373.229965,1649214876303.6794
2025-03-28,2025-03-29,87134.99,87487.48,83664.96,84428.01,50686956680.822296,1689251677527.2996
2025-03-27,2025-03-28,86943.66,87706.66,85938.04,87233.76,45790132375.125435,1729988949434.1846
2025-03-26,2025-03-27,87333.61,88245.26,85937.46,86945.41,47668895554.223,1731789281821.979
2025-03-25,2025-03-26,87345.15,88448.53,86349.98,87483.06,56119416636.40767,1731916339831.7039
2025-03-24,2025-03-25,85967.42,88654.16,85568.55,87365.98,92018925791.7561,1732703257782.784
2025-03-23,2025-03-24,83833.25,85804.35,83833.25,85750.02,65768043880.17422,1679311077904.345
2025-03-22,2025-03-23,84074.52,84528.35,83742.1,83798.13,92973716555.33101,1669817632499.7979
2025-03-21,2025-03-22,84335.64,84789.6,83364.81,84050.18,70499840455.27527,1669094291927.655
2025-03-20,2025-03-21,87309.29,87410.59,83765.74,84304.83,62868771995.125435,1691193356249.7073
2025-03-19,2025-03-20,82658.81,86891.95,82611.59,86793.7,78132906441.67247,1666735074297.439
2025-03-18,2025-03-19,83919.26,83949.09,81221.47,82799.03,96487660396.65854,1637257935310.4634
2025-03-17,2025-03-18,82643.23,84663.79,82643.23,84067.57,47257506664.22648,1657349084338.129
2025-03-16,2025-03-17,84346.05,84739.84,82065.51,82576.96,31567641071.923344,1657871852100.8467
2025-03-15,2025-03-16,84063.17,84652.22,83675.09,84368.36,46550538210.57143,1670909585731.366
2025-03-14,2025-03-15,80991.38,85126.59,80866.26,83957.61,56526744237.56795,1649042021849.38
2025-03-13,2025-03-14,83827.62,84187.97,79995.68,81146.12,61086516899.39024,1632602135516.1985
2025-03-12,2025-03-13,82799.95,84070.35,80915.88,83887.28,76918860094.90941,1637675141128.0662
2025-03-11,2025-03-12,78951.25,83390.39,76794.34,82840.24,89456436399.1359,1607287578220.8572
2025-03-10,2025-03-11,81277.03,83767.51,77523.99,78794.69,73877158367.66551,1606216749264.5227
2025-03-09,2025-03-10,86164.45,86449.41,80213.41,80771.68,34642707910.61324,1673321126853.4285
2025-03-08,2025-03-09,86715.98,86866.21,85265.53,86159.9,72159444573.93379,1709870247214.31
2025-03-07,2025-03-08,90117.99,90938.71,85051.68,86832.99,97762631402.49477,1746105339032.8955
2025-03-06,2025-03-07,90680.38,92738.04,88101.89,90056.86,77139096015.50352,1793579350158.507
2025-03-05,2025-03-06,87062.04,90855.97,86429.91,90614.42,90614579558.48781,1757706315377.2334
2025-03-04,2025-03-05,86086.02,88848.48,81942.81,87322.12,107614421820.4007,1678926609763.7073
2025-03-03,2025-03-04,93956.01,93956.01,85353.3,86286.03,109083137930.8223,1800579423466.4355
2025-03-02,2025-03-03,86055.01,94808.02,85107.4,94233.81,54036914312.34146,1751024149322.3171
2025-03-01,2025-03-02,84307.46,86541.42,83867.88,86006.06,82169791727.76656,1686655018938.9583
2025-02-28,2025-03-01,84874.36,84888.2,78534.47,84501.01,114808770267.34494,1624974944099.3066
2025-02-27,2025-02-28,84352.25,87020.64,82853.95,84813.78,100592101371.18816,1689394103519.3555
2025-02-26,2025-02-27,88600.08,89398.46,82402.48,84000,99646076735.10802,1730505919717.1116
2025-02-25,2025-02-26,91725.79,92516.4,86329.96,88797.34,103570253695.43205,1771178337014.8257
2025-02-24,2025-02-25,96247.37,96496.49,91453.66,91453.66,42915703251.60976,1884412293752.2334
2025-02-23,2025-02-24,96525.93,96649.99,95261.67,96247.99,28491898334.811848,1903376303185.575
2025-02-22,2025-02-23,96007.97,96874.02,95804.04,96551.04,62605448425.71429,1911875378462.3179
2025-02-21,2025-02-22,98405.09,99433.96,95005.59,96161.18,55048598577.07665,1937089206914.209
2025-02-20,2025-02-21,96655.17,98684.87,96496.28,98386.99,46556523351.6446,1931015802953.69
2025-02-19,2025-02-20,95611.05,96824.87,95041.74,96559.3,57227125160.44948,1901422869029.979
2025-02-18,2025-02-19,95872.11,96639.7,93494.19,95532.97,46646393397.85366,1890961780614.7249
2025-02-17,2025-02-18,96158.2,96928.96,95233.09,95811.35,35606804164.09059,1903929147306.7212
2025-02-16,2025-02-17,97608.91,97702.41,96126.98,96126.98,24935455179.878048,1925797865419.899
2025-02-15,2025-02-16,97441.96,97964.82,97286.16,97551.71,43880503845.82927,1933527836923.8328
2025-02-14,2025-02-15,96634.17,98629.06,96322.62,97483.36,48799409930.808365,1923503926457.92
2025-02-13,2025-02-14,97692.8,98062.17,95360.04,96551.64,63136043802.05575,1910325646084.8188
2025-02-12,2025-02-13,95885.71,98044.11,94336.27,97799.93,58173352163.36585,1907453414925.0522
2025-02-11,2025-02-12,97467.69,98424.33,94926.49,95783.6,46753246914.39721,1925449737443.7595
2025-02-10,2025-02-11,96782.88,98215.75,95499.98,97372.05,53325970816.78397,1925993184810.265
2025-02-09,2025-02-10,96442.54,97278.04,94807.91,96515.22,32116590763.278744,1912714801489.0557
2025-02-08,2025-02-09,96447.9,96847.82,95717.84,96544.97,62373810394.243904,1908201665424.3728
2025-02-07,2025-02-08,96755.94,100023,95661.12,96503.93,67990905956.731705,1928083793909.216
2025-02-06,2025-02-07,96806.37,99108.31,95885.57,96586.85,60696114350.75262,1931608477135.979
2025-02-05,2025-02-06,97979.89,98876.15,96296.48,96594.39,81517859048.12195,1936883763799.7039
2025-02-04,2025-02-05,101443,101613,96332.98,98027.99,101079670880.77701,1967339128697.9163
2025-02-03,2025-02-04,97418.2,102289,92692.13,101371,130618314576.78397,1917963058416.8816
2025-02-02,2025-02-03,100604,101386,96763.02,97584.89,53761921059.80488,1963730284765.223
2025-02-01,2025-02-02,102318,102760,100288,100649,53430949036.51219,2020755402343.0662
2025-01-31,2025-02-01,104840,105807,101632,102391,76033677211.55052,2061170283945.4705
2025-01-30,2025-01-31,103543,106208,103396,104793,75054210025.51569,2082326892923.2056
2025-01-29,2025-01-30,101389,104646,101376,103705,56703543830.98606,2031386072112.6482
2025-01-28,2025-01-29,102543,103556,100333,101344,81875109431.446,2028605776021.777
2025-01-27,2025-01-28,102875,103225,97785.26,101986,77302679559.20209,1989535139826.0696
2025-01-26,2025-01-27,104772,105393,102623,102623,28989514906.487804,2076926468772.1255
2025-01-25,2025-01-26,104775,105232,104145,104816,52193881184.10453,2074620118168.5366
2025-01-24,2025-01-25,103849,106948,102800,104811,115078130761.18816,2081402267735.8538
2025-01-23,2025-01-24,103723,106461,101276,104039,88297171088.60628,2045675220954.878
2025-01-22,2025-01-23,106011,106189,103417,103720,87286860083.74216,2078211862894.2856
2025-01-21,2025-01-22,101743,107133,100480,106198,139085618268.77353,2058710070902.2996
2025-01-20,2025-01-21,100825,109079,99832.98,101926,148057020106.4669,2073876283580.3276
2025-01-19,2025-01-20,104401,106354,99673.27,101378,71704147685.81184,2074454879075.4355
2025-01-18,2025-01-19,104227,104959,102360,104415,79851654021.58188,2056406022697.4634
2025-01-17,2025-01-18,100045,105828,100044,104119,80029703797.12892,2036603783703.0312
2025-01-16,2025-01-17,100491,100616,97514.91,100050,74992466216.37282,1971703690414.035
2025-01-15,2025-01-16,96506.98,100638,96506.98,100280,70069304045.50523,1942834773949.3484
2025-01-14,2025-01-15,94523.94,97316.06,94354.8,96624.15,89162525730.66551,1899683295814.7249
2025-01-13,2025-01-14,94583.86,95759.98,90000.02,94474.29,60704225079.4216,1843035365618.5715
2025-01-12,2025-01-13,94635.04,95314.07,93804.15,94489.93,26704832659.02439,1872700186059.3938
2025-01-11,2025-01-12,94705.81,95009.18,93900.15,94595.97,60600829825.087105,1869739138503.338
2025-01-10,2025-01-11,92592.4,95738.27,92418.35,94749.98,84405720218.446,1866359318259.1743
2025-01-09,2025-01-10,94962.47,95340.9,91245.71,92406.11,85716154823.7561,1851270937380.6482
2025-01-08,2025-01-09,96712,97268.67,92991.31,95059.96,85737267513.48781,1891194933246.0417
2025-01-07,2025-01-08,102109,102444,96206.19,96916.64,72033067738.8676,1978855407463.7107
2025-01-06,2025-01-07,98457.51,102440,97983.22,102222,53401942771.388115,1984108911405.2097
2025-01-05,2025-01-06,98216.11,98757.56,97339.16,98394.57,33142539323.965157,1942558010009.6306
2025-01-04,2025-01-05,98209.88,98727.99,97560.78,98259.43,47085373030.80488,1941545303077.2195
2025-01-03,2025-01-04,96981.54,98944.63,96123.56,98126.64,58117695882.72125,1926076511509.8955
2025-01-02,2025-01-03,94474.31,97820.94,94459.99,96949.18,52199445640.06969,1907089349114.5261
2025-01-01,2025-01-02,93650.83,95074.46,93070.57,94610.14,51859876687.916374,1860687393383.2717
2024-12-31,2025-01-01,92728.07,96016.01,92161.96,93647.01,75351850923.65506,1856486204953.7805
2024-12-30,2024-12-31,93610.59,94951.18,91603.06,92811.03,58331914971.832756,1850687915427.8677
2024-12-29,2024-12-30,95233.87,95272.03,93069.72,93659.56,35660027972.34495,1872836839162.9373
2024-12-28,2024-12-29,94394.88,95394.07,94098.12,95204.07,54047947732.66202,1875425836828.8154
2024-12-27,2024-12-28,95848.07,97199.96,93527.75,94452.57,66231541525.75958,1892533809243.1394
2024-12-26,2024-12-27,99792,99940.03,95249.51,95830.42,58620968526.585365,1915420141811.5854
2024-12-25,2024-12-26,98612.37,99436,97676.75,99436,62036161613.87676,1949704818370.472
2024-12-24,2024-12-25,94736.64,99280.01,93712.18,98805.9,76323175683.21254,1899057311855.5818
2024-12-23,2024-12-24,95181.3,96433.71,92587.99,94748.02,74389445085.7352,1876386494838.1638
2024-12-22,2024-12-23,97178.72,97408.04,94288.04,95136.87,60172030056.13937,1906302613170.8362
2024-12-21,2024-12-22,97696.08,99490.36,96639.15,97253.03,103445426511.10104,1933881968477.8467
2024-12-20,2024-12-21,97611.97,98200.45,92450,97691.36,139703232932.27527,1909058168447.5923
2024-12-19,2024-12-20,100573,102672,96026.57,97874.66,128536950315.76306,1985173434398.69
2024-12-18,2024-12-19,106053,106444,100172,100368,122105965620.28572,2057582532859.9023
2024-12-17,2024-12-18,105999,108239,105549,106052,124224918390.4669,2112523563111.805
2024-12-16,2024-12-17,104608,107768,103425,106010,117242854002.95122,2084952957360.5854
2024-12-15,2024-12-16,101478,104921,101316,104621,74032778621.99303,2029652386963.9023
2024-12-14,2024-12-15,101401,102589,100706,101364,90624467771.4669,2009150944519.6099
2024-12-13,2024-12-14,100068,101818,99295.32,101371,109866813029.54704,1988906701538.2683
2024-12-12,2024-12-13,101062,102497,99422.23,100041,119055118107,1994228389410.864
2024-12-11,2024-12-12,96716.03,101825,95777.21,101074,137792236580.89896,1955907945691.69
2024-12-10,2024-12-11,97052.54,98128.02,94371.1,96628.01,166373033665.11847,1916908391045.0454
2024-12-09,2024-12-10,100968,100968,94947.98,97422.43,106531591106.00697,1949270156774.8362
2024-12-08,2024-12-09,99907.98,101215,98843.96,101215,66927756250.63066,1975119878167.8223
2024-12-07,2024-12-08,99820.38,100428,99055.93,99699.99,113320436919.21951,1972842731971.007
2024-12-06,2024-12-07,96580.04,101861,96520.48,99798.48,188013492242.11887,1957049343779.035
2024-12-05,2024-12-06,98519.93,103484,93912.02,97013.92,184824248794.0944,2000657732351.0803
2024-12-04,2024-12-05,95903.26,98975.08,94814.65,98730.99,105283404459.62718,1908424124261.8223
2024-12-03,2024-12-04,95836.05,96238.1,93618.44,95970.93,106465586145.65157,1890160822157.0244
2024-12-02,2024-12-03,97183.98,98051.18,94625.38,95807.6,85292808199.56795,1901101405235.6724
2024-12-01,2024-12-02,96505.88,97767.64,95776.26,97236.3,53606873251.67944,1916922956139.906
2024-11-30,2024-12-01,97317.53,97329.92,96137.48,96436.01,75686925475.52962,1913487930004.8884
2024-11-29,2024-11-30,95627.24,98564.62,95432.02,97383.7,73540702253.37282,1915376254328.5957
2024-11-28,2024-11-29,95850.02,96560.02,94688,95632.03,91367563526.64809,1887668008967.4495
2024-11-27,2024-11-28,91826.51,97208.23,91808,95899.86,105995810362.98607,1864500796914.0417
2024-11-26,2024-11-27,93064.01,94915.39,90860.03,91993.22,130295482809.85365,1842938063042.6133
2024-11-25,2024-11-26,97736.05,98746.64,92896.18,93079.67,81967757600.00348,1914571548707.9966
2024-11-24,2024-11-25,97693.54,98515.16,95759.99,97867.46,59912158588,1927720657888.899
2024-11-23,2024-11-24,98788.34,98874.93,97191.99,97628.02,83162177003.70035,1944474660716.5784
2024-11-22,2024-11-23,98311.38,99498.52,97252,98851.49,120715743965.81534,1952242799854.7979
2024-11-21,2024-11-22,94267.41,98789.88,94111.91,98425.93,124061794774.17133,1920870646501.514
2024-11-20,2024-11-21,92212.04,94819.96,91505.99,94174.71,104283260657.96516,1845779458933.1638
2024-11-19,2024-11-20,90406.06,93836.94,90406.06,92119.47,103897079169.33101,1818536542335.749
2024-11-18,2024-11-19,89782.53,92532,89453.11,90549.34,78257155574.17421,1799245714803.561
2024-11-17,2024-11-18,90642.34,91447.99,88768.66,89763.59,59020288900.41115,1787375905097.3555
2024-11-16,2024-11-17,91135.39,91735.96,90131.55,90543.67,87437209941.79442,1801356084789.4182
2024-11-15,2024-11-16,87681.91,91741.72,87140.65,90949.94,115603162996.73868,1763628734293.2195
2024-11-14,2024-11-15,90224.2,91637.55,86938.85,87347.45,153146346263.78745,1773909794872.784
2024-11-13,2024-11-14,88144.01,93243.92,86204.37,90300.02,160918008013.6864,1759012763467.85
2024-11-12,2024-11-13,88213.99,89800.23,85175.97,88164.77,200970767179.90244,1738592782126.8328
2024-11-11,2024-11-12,80486.91,89424.41,80381.97,88627.98,115609444240.77701,1642993507212.5332
2024-11-10,2024-11-11,76539.97,81233.28,76539.97,80409.97,71609202780.14983,1563829624114.9688
2024-11-09,2024-11-10,76424.82,76893.95,75838,76615.99,57291171255.585365,1509901429967.5505
2024-11-08,2024-11-09,75927.95,77115.59,75638.04,76544.78,74504748582.48781,1504924618188.0837
